bit_index,row_id,keep_mask,ambiguous_outputs
4704,73,32,D0.0|D1.0|PAR.0
4712,73,40,D1.0|PAR.0
4736,74,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4737,74,1,CAP.5|PAR.5
4738,74,2,CAP.4|D0.4|D1.4|PAR.4
4739,74,3,CAP.4|PAR.4
4740,74,4,PAR.3|PASS.3|TRI.3
4744,74,8,PAR.2|TRI.2
4748,74,12,PAR.2|TRI.2
4752,74,16,CAP.1|PAR.1|TRI.1
4753,74,17,CAP.5|PAR.5
4754,74,18,CAP.1|PAR.1
4755,74,19,CAP.4|PAR.4
4756,74,20,PAR.1|TRI.1
4760,74,24,PAR.1|TRI.1
4764,74,28,PAR.1|TRI.1
4768,74,32,CAP.0|PAR.0|TRI.0
4769,74,33,CAP.5|PAR.5
4770,74,34,CAP.4|PAR.4
4771,74,35,CAP.4|PAR.4
4772,74,36,PAR.3|TRI.3
4776,74,40,PAR.0|TRI.0
4780,74,44,PAR.0|TRI.0
4784,74,48,CAP.0|PAR.0|TRI.0
4785,74,49,CAP.5|PAR.5
4786,74,50,CAP.4|PAR.4
4787,74,51,CAP.4|PAR.4
4788,74,52,PAR.0|TRI.0
4792,74,56,PAR.0|TRI.0
4796,74,60,PAR.0|TRI.0
4800,75,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4801,75,1,CAP.5|PAR.5|TRI.5
4802,75,2,CAP.4|PAR.4|TRI.4
4803,75,3,CAP.4|PAR.4|TRI.4
4804,75,4,CAP.3|PAR.3
4805,75,5,CAP.3|PAR.3
4806,75,6,CAP.3|PAR.3
4807,75,7,CAP.3|PAR.3
4808,75,8,CAP.2|D0.2|D1.2|PAR.2
4809,75,9,CAP.5|PAR.5
4810,75,10,CAP.2|PAR.2
4811,75,11,CAP.2|PAR.2
4812,75,12,CAP.2|PAR.2
4813,75,13,CAP.2|PAR.2
4814,75,14,CAP.2|PAR.2
4815,75,15,CAP.2|PAR.2
4816,75,16,PAR.1|PASS.1|TRI.1
4817,75,17,PAR.5|TRI.5
4818,75,18,PAR.4|TRI.4
4819,75,19,PAR.4|TRI.4
4832,75,32,PAR.0|TRI.0
4833,75,33,PAR.5|TRI.5
4834,75,34,PAR.4|TRI.4
4835,75,35,PAR.4|TRI.4
4848,75,48,PAR.0|TRI.0
4849,75,49,PAR.5|TRI.5
4850,75,50,PAR.4|TRI.4
4851,75,51,PAR.4|TRI.4
4864,76,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4865,76,1,CAP.5|PAR.5|TRI.5
4866,76,2,CAP.4|PAR.4|TRI.4
4867,76,3,CAP.4|PAR.4|TRI.4
4868,76,4,CAP.3|PAR.3
4869,76,5,CAP.3|PAR.3
4870,76,6,CAP.3|PAR.3
4871,76,7,CAP.3|PAR.3
4872,76,8,CAP.2|D0.2|D1.2|PAR.2
4873,76,9,CAP.5|PAR.5
4874,76,10,CAP.2|PAR.2
4875,76,11,CAP.2|PAR.2
4876,76,12,CAP.2|PAR.2
4877,76,13,CAP.2|PAR.2
4878,76,14,CAP.2|PAR.2
4879,76,15,CAP.2|PAR.2
4880,76,16,PAR.1|PASS.1|TRI.1
4881,76,17,PAR.5|TRI.5
4882,76,18,PAR.4|TRI.4
4883,76,19,PAR.4|TRI.4
4896,76,32,PAR.0|PASS.0|TRI.0
4897,76,33,PAR.5|TRI.5
4898,76,34,PAR.4|TRI.4
4899,76,35,PAR.4|TRI.4
4912,76,48,PAR.0|PASS.0|TRI.0
4913,76,49,PAR.5|TRI.5
4914,76,50,PAR.4|TRI.4
4915,76,51,PAR.4|TRI.4
4928,77,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4929,77,1,CAP.5|PAR.5|TRI.5
4930,77,2,CAP.4|PAR.4|TRI.4
4931,77,3,CAP.4|PAR.4|TRI.4
4932,77,4,CAP.3|PAR.3
4933,77,5,CAP.3|PAR.3
4934,77,6,CAP.3|PAR.3
4935,77,7,CAP.3|PAR.3
4936,77,8,CAP.2|D0.2|D1.2|PAR.2
4937,77,9,CAP.5|PAR.5
4938,77,10,CAP.2|PAR.2
4939,77,11,CAP.2|PAR.2
4940,77,12,CAP.2|PAR.2
4941,77,13,CAP.2|PAR.2
4942,77,14,CAP.2|PAR.2
4943,77,15,CAP.2|PAR.2
4944,77,16,PAR.1|PASS.1|TRI.1
4945,77,17,PAR.5|TRI.5
4946,77,18,PAR.1|TRI.1
4947,77,19,PAR.4|TRI.4
4960,77,32,PAR.0|TRI.0
4961,77,33,PAR.5|TRI.5
4962,77,34,PAR.4|TRI.4
4963,77,35,PAR.4|TRI.4
4976,77,48,PAR.0|TRI.0
4977,77,49,PAR.5|TRI.5
4978,77,50,PAR.4|TRI.4
4979,77,51,PAR.4|TRI.4
4992,78,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4994,78,2,D0.4|D1.4|PASS.4|TRI.4
4996,78,4,CAP.3|D0.3|PASS.3
4998,78,6,D0.3|PASS.3
5000,78,8,CAP.2|PASS.2
5001,78,9,PASS.2|PASS.5
5004,78,12,CAP.2|PASS.2
5008,78,16,CAP.1|PASS.1|TRI.1
5010,78,18,PASS.1|PASS.4|TRI.4
5012,78,20,CAP.1|PASS.1
5016,78,24,CAP.1|PASS.1
5019,78,27,PASS.1|PASS.4
5020,78,28,CAP.1|PASS.1
5056,79,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
5057,79,1,PAR.5|PASS.5|TRI.5
5058,79,2,PASS.4|TRI.4
