token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1004,3456,176826980027621395247977535579882387/47426125001287087191293376751379,167649669317314511777547934546701853/94852250002574174382586753502758,P0/P2,false,pair:P0:P2:NW
1005,3458,7958738520289673584940283339570389/2131786304984943444522820730197,7529234949339770421634073322558459/4263572609969886889045641460394,P1/P2,false,pair:P1:P2:E
1006,3459,163021526725525222089355793909088853/43852142581094853810056238842581,156099336827931722962108811350681211/87704285162189707620112477685162,P0/P1,false,pair:P0:P1:NW
1007,3463,18145655664400750510696577750079349/4863361271533565191248150538229,17236369575241950260666729564083035/9726722543067130382496301076458,P0/P1,false,pair:P0:P1:N
1008,3470,578660781825709595503557885679918489/154705030440311912925242916812825,549242146961891918520996404226602359/309410060880623825850485833625650,P1/P2,false,pair:P1:P2:W
1009,3472,4058941824496941822735273441157217/1076949135559705243737650990817,11361297823142335905680716253593997/6461694813358231462425905944902,P1/P2,false,pair:P1:P2:NW
1010,3474,114044415101469959523219797735235757/30327176008698023619011526597933,107079964987903799217944806755209635/60654352017396047238023053195866,P0/P1,false,pair:P0:P1:SW
1011,3475,934651401479672226452725463377956385/249861565587463001089146555128993,889478887225105651442661692194273647/499723131174926002178293110257986,P0/P2,false,pair:P0:P2:W
1012,3477,437775738511655924115019110944254367/116993629369493484649107583859487,416468869774536104217784911098997457/233987258738986969298215167718974,P0/P2,false,pair:P0:P2:W
1013,3481,165718854875834988835031922311405617/44371058481791977105064449054385,31760459095436200066286038922354707/17748423392716790842025779621754,P0/P1,false,pair:P0:P1:S
1014,3483,13073018226577941879996194380410825/3480368867497318200318590255689,12370180274475296029006530504281671/6960737734994636400637180511378,P0/P1,false,pair:P0:P1:S
1015,3489,1048469445408484059112426469953821317/279082884871925802231474307027717,995947588687098011999012185986062667/558165769743851604462948614055434,P1/P2,false,pair:P1:P2:E
1016,3490,13098371238582506468026128444518345/3480368867497318200318590255689,12390462684078947699430477755567687/6960737734994636400637180511378,P0/P1,false,pair:P0:P1:S
1017,3497,1779924309652608815032235538269519969/472605173107291365909536331493089,1688958870079326838741875388962130735/945210346214582731819072662986178,P0/P1,false,pair:P0:P1:SE
1018,3503,594389831729731027433355699491760843/157535057702430455303178777164363,1692204055615911106009706949167893295/945210346214582731819072662986178,P0/P1,false,pair:P0:P1:NE
1019,3507,549716144371687138286999345805286901/145518233810044497226488526384757,521437438420142523485118723830117595/291036467620088994452977052769514,P1/P2,false,pair:P1:P2:SW
1020,3512,98302617579288867772408656294937439/26028927863736494604068602721503,842287214911088791415810673259427225/468520701547256902873234848987054,P0/P1,false,pair:P0:P1:N
1021,3513,1055122075758481807011481168375634565/279082884871925802231474307027717,1002113441206608119807892150377011531/558165769743851604462948614055434,P0/P2,false,pair:P0:P2:S
1022,3515,28095197270019822574581278819336783/7423088720452284788028657437647,79888054644921013953830511699455843/44538532322713708728171944625882,P0/P1,false,pair:P0:P1:N
1023,3517,85199258772440998529901630860598807/22411267049148675397428441267095,79913113147759664196040738558792153/44822534098297350794856882534190,P0/P1,false,pair:P0:P1:N
1024,3521,559510152633274322131468792882550459/147826953282156811293676251905595,531375435064147458959132974799284597/295653906564313622587352503811190,P0/P2,false,pair:P0:P2:SE
