bit_index,row_id,keep_mask,output
2230,34,54,H.0
2231,34,55,H.3
2232,34,56,H.0
2233,34,57,H.5
2234,34,58,H.0
2235,34,59,H.4
2236,34,60,H.0
2237,34,61,H.5
2238,34,62,H.0
2239,34,63,H.5
2242,35,2,H.4
2243,35,3,H.4
2244,35,4,H.3
2245,35,5,H.3
2246,35,6,H.3
2247,35,7,H.3
2249,35,9,H.5
2250,35,10,H.2
2251,35,11,H.2
2252,35,12,H.2
2253,35,13,H.2
2254,35,14,H.2
2255,35,15,H.2
2258,35,18,H.1
2259,35,19,H.4
2260,35,20,H.1
2261,35,21,H.5
2262,35,22,H.1
2263,35,23,H.1
2264,35,24,H.1
2265,35,25,H.5
2266,35,26,H.1
2267,35,27,H.4
2268,35,28,H.1
2269,35,29,H.5
2270,35,30,H.1
2271,35,31,H.1
2273,35,33,H.5
2274,35,34,H.4
2275,35,35,H.4
2276,35,36,H.0
2277,35,37,H.3
2278,35,38,H.3
2279,35,39,H.3
2281,35,41,H.5
2282,35,42,H.0
2283,35,43,H.2
2284,35,44,H.0
2285,35,45,H.5
2286,35,46,H.0
2287,35,47,H.2
2288,35,48,H.0
2289,35,49,H.5
2290,35,50,H.4
2291,35,51,H.4
2292,35,52,H.0
2293,35,53,H.5
2294,35,54,H.0
2295,35,55,H.3
2296,35,56,H.0
2297,35,57,H.5
2298,35,58,H.0
2299,35,59,H.4
2300,35,60,H.0
2301,35,61,H.5
2302,35,62,H.0
2303,35,63,H.4
2307,36,3,H.4
2308,36,4,H.3
2309,36,5,H.3
2310,36,6,H.3
2311,36,7,H.3
2312,36,8,H.2
2313,36,9,H.5
2314,36,10,H.2
2315,36,11,H.2
2316,36,12,H.2
2317,36,13,H.2
2318,36,14,H.2
2319,36,15,H.2
2320,36,16,H.1
2321,36,17,H.5
2322,36,18,H.1
2323,36,19,H.4
2324,36,20,H.1
2325,36,21,H.5
2326,36,22,H.1
2327,36,23,H.3
2328,36,24,H.1
2329,36,25,H.5
2330,36,26,H.1
2331,36,27,H.4
2332,36,28,H.1
2333,36,29,H.5
2334,36,30,H.1
2335,36,31,H.1
2336,36,32,H.0
2337,36,33,H.5
2338,36,34,H.4
2339,36,35,H.4
2340,36,36,H.0
2341,36,37,H.3
2342,36,38,H.3
2343,36,39,H.3
2344,36,40,H.0
2345,36,41,H.5
2346,36,42,H.2
2347,36,43,H.2
2348,36,44,H.0
2349,36,45,H.5
2350,36,46,H.2
2351,36,47,H.2
