# REPHEX current computed pattern
# axiom=F level=5 cells=15841
# source=F: F@e; F -> F + {B_i@g_i : i=0..5}
# q r state orientation colour_index dark_cap leaf_tag
-6 -69 G 1 4 0 P
-5 -69 G 2 3 0 P
-4 -69 C 5 1 1 N
-3 -69 G 1 3 0 T
-2 -69 G 2 2 0 T
-1 -69 G 5 10 0 T
0 -69 1 1 0 0 N
1 -69 G 3 3 0 P
2 -69 G 1 3 0 P
3 -69 G 2 2 0 P
4 -69 G 5 5 0 P
5 -69 B 1 6 0 N
6 -69 B 2 5 0 N
7 -69 G 1 4 0 P
8 -69 G 2 3 0 P
9 -69 C 5 1 1 N
10 -69 G 1 3 0 T
11 -69 G 2 2 0 T
12 -69 G 5 5 0 T
13 -69 B 1 7 0 N
14 -69 1 2 0 0 N
15 -69 G 3 4 0 P
16 -69 0 4 0 0 N
17 -69 G 3 4 0 P
18 -69 G 1 3 0 P
19 -69 G 2 2 0 P
20 -69 G 5 4 0 P
21 -69 0 4 1 0 N
22 -69 G 3 9 0 U
57 -69 G 1 3 0 U
58 -69 G 2 2 0 U
59 -69 G 5 5 0 U
60 -69 B 1 6 0 N
61 -69 B 2 5 0 N
62 -69 G 1 4 0 P
63 -69 G 2 3 0 P
64 -69 C 5 1 1 N
65 -69 G 1 3 0 T
66 -69 G 2 2 0 T
67 -69 G 5 5 0 T
68 -69 B 1 7 0 N
69 -69 1 2 0 0 N
70 -69 G 3 4 0 P
71 -69 0 4 0 0 N
72 -69 G 3 4 0 P
73 -69 G 1 3 0 P
74 -69 G 2 2 0 P
75 -69 G 5 4 0 P
76 -69 0 4 1 0 N
77 -69 G 3 9 0 U
-12 -68 C 0 1 1 N
-11 -68 1 0 0 0 N
-10 -68 0 0 0 0 N
-9 -68 B 0 2 0 N
-8 -68 1 0 1 0 N
-7 -68 0 0 1 0 N
-6 -68 1 0 0 0 N
-5 -68 0 0 0 0 N
-4 -68 B 0 1 0 N
-3 -68 1 0 0 0 N
-2 -68 0 0 0 0 N
-1 -68 B 0 7 0 N
0 -68 0 1 0 0 N
1 -68 C 0 1 1 N
2 -68 1 0 0 0 N
3 -68 0 0 0 0 N
4 -68 B 0 2 0 N
5 -68 1 0 1 0 N
6 -68 0 0 1 0 N
7 -68 1 0 0 0 N
8 -68 0 0 0 0 N
9 -68 B 0 1 0 N
10 -68 1 0 0 0 N
11 -68 0 0 0 0 N
12 -68 B 0 8 0 N
13 -68 0 2 0 0 N
14 -68 G 4 3 0 P
15 -68 G 0 2 0 P
16 -68 1 4 0 0 N
17 -68 C 0 1 1 N
18 -68 1 0 0 0 N
19 -68 0 0 0 0 N
20 -68 B 0 5 0 N
21 -68 1 4 1 0 N
56 -68 C 0 1 1 N
57 -68 1 0 0 0 N
58 -68 0 0 0 0 N
59 -68 B 0 2 0 N
60 -68 1 0 1 0 N
61 -68 0 0 1 0 N
62 -68 1 0 0 0 N
63 -68 0 0 0 0 N
64 -68 B 0 1 0 N
65 -68 1 0 0 0 N
66 -68 0 0 0 0 N
67 -68 B 0 8 0 N
68 -68 0 2 0 0 N
69 -68 G 4 3 0 P
70 -68 G 0 2 0 P
71 -68 1 4 0 0 N
72 -68 C 0 1 1 N
73 -68 1 0 0 0 N
74 -68 0 0 0 0 N
75 -68 B 0 5 0 N
76 -68 1 4 1 0 N
-11 -67 G 5 4 0 U
-10 -67 G 4 5 0 U
-8 -67 G 5 9 0 U
-7 -67 G 4 10 0 U
-6 -67 B 5 7 0 N
-5 -67 B 4 8 0 N
-4 -67 G 2 5 0 T
-3 -67 G 5 4 0 T
-2 -67 G 4 5 0 T
-1 -67 B 5 8 0 N
0 -67 B 1 1 0 N
1 -67 G 2 3 0 T
2 -67 G 5 4 0 T
3 -67 G 4 5 0 T
4 -67 C 2 1 1 N
5 -67 G 5 9 0 P
6 -67 G 4 10 0 P
7 -67 B 5 7 0 N
8 -67 B 4 8 0 N
9 -67 G 2 5 0 T
10 -67 G 5 4 0 T
11 -67 G 4 5 0 T
12 -67 B 2 1 0 N
13 -67 C 1 1 1 N
14 -67 G 2 3 0 P
15 -67 G 5 3 0 P
16 -67 C 4 1 1 N
17 -67 C 2 1 1 N
18 -67 G 5 4 0 P
19 -67 G 4 5 0 P
20 -67 B 5 6 0 N
21 -67 B 4 2 0 N
22 -67 G 2 5 0 U
25 -67 C 2 1 1 N
34 -67 C 1 1 1 N
35 -67 G 2 3 0 U
38 -67 C 2 1 1 N
46 -67 C 2 1 1 N
57 -67 G 5 4 0 U
58 -67 G 4 5 0 U
60 -67 G 5 9 0 U
61 -67 G 4 10 0 U
62 -67 B 5 7 0 N
63 -67 B 4 8 0 N
64 -67 G 2 5 0 T
65 -67 G 5 4 0 T
66 -67 G 4 5 0 T
67 -67 B 2 1 0 N
68 -67 C 1 1 1 N
69 -67 G 2 3 0 P
70 -67 G 5 3 0 P
71 -67 C 4 1 1 N
72 -67 C 2 1 1 N
73 -67 G 5 4 0 P
74 -67 G 4 5 0 P
75 -67 B 5 6 0 N
76 -67 B 4 2 0 N
77 -67 G 2 5 0 U
80 -67 C 2 1 1 N
-8 -66 G 1 2 0 U
-7 -66 0 5 0 0 N
-6 -66 G 3 5 0 P
-5 -66 0 4 0 0 N
-4 -66 G 3 4 0 T
-3 -66 G 1 2 0 T
-2 -66 0 5 0 0 N
-1 -66 G 3 5 0 T
0 -66 1 1 0 0 N
1 -66 G 3 2 0 T
2 -66 G 1 4 0 T
3 -66 1 2 0 0 N
4 -66 G 3 3 0 P
5 -66 G 1 2 0 P
6 -66 0 5 0 0 N
