bit_index,row_id,keep_mask,ambiguous_outputs
2080,32,32,D0.0|D1.0|LEAF.0
2081,32,33,D0.5|D1.5
2084,32,36,D0.3|D1.3
2085,32,37,D0.3|D1.3
2088,32,40,D0.0|D1.0
2089,32,41,D0.5|D1.5
2092,32,44,D0.0|D1.0
2093,32,45,D0.2|D1.2
2112,33,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
2113,33,1,D0.5|D1.5
2114,33,2,CAP.4|D0.4|D1.4|LEAF.4|PASS.4
2115,33,3,D0.4|D1.4
2120,33,8,D0.2|D1.2|LEAF.2
2121,33,9,D0.5|D1.5
2122,33,10,D0.2|D1.2
2123,33,11,D0.2|D1.2
2128,33,16,D0.1|D1.1|PASS.1
2129,33,17,D0.5|D1.5
2130,33,18,D0.1|D1.1
2131,33,19,D0.4|D1.4
2136,33,24,D0.1|D1.1
2137,33,25,D0.5|D1.5
2138,33,26,D0.1|D1.1
2139,33,27,D0.4|D1.4
2176,34,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
2178,34,2,D0.4|D1.4|LEAF.4
2180,34,4,D0.3|D1.3|PASS.3
2182,34,6,D0.3|D1.3
2192,34,16,D0.1|D1.1|LEAF.1
2194,34,18,D0.4|D1.4
2196,34,20,D0.1|D1.1
2198,34,22,D0.1|D1.1
2208,34,32,D0.0|D1.0|LEAF.0
2210,34,34,D0.4|D1.4|LEAF.4
2212,34,36,D0.3|D1.3
2214,34,38,D0.3|D1.3
2224,34,48,D0.0|D1.0
2226,34,50,D0.4|D1.4
2228,34,52,D0.0|D1.0
2230,34,54,D0.0|D1.0
2240,35,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
2242,35,2,D0.4|D1.4
2244,35,4,D0.3|D1.3
2246,35,6,D0.3|D1.3
2256,35,16,D0.1|D1.1|LEAF.1
2258,35,18,D0.4|D1.4
2260,35,20,D0.1|D1.1
2262,35,22,D0.1|D1.1
2272,35,32,D0.0|D1.0|LEAF.0
2274,35,34,D0.4|D1.4
2276,35,36,D0.3|D1.3
2278,35,38,D0.3|D1.3
2288,35,48,D0.0|D1.0
2290,35,50,D0.4|D1.4
2292,35,52,D0.0|D1.0
2294,35,54,D0.3|D1.3
2304,36,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
2306,36,2,D0.4|D1.4
2308,36,4,D0.3|D1.3
2310,36,6,D0.3|D1.3
2320,36,16,D0.1|D1.1|LEAF.1
2322,36,18,D0.4|D1.4
2324,36,20,D0.1|D1.1
2326,36,22,D0.1|D1.1
2336,36,32,D0.0|D1.0|LEAF.0
2338,36,34,D0.4|D1.4
2340,36,36,D0.3|D1.3
2342,36,38,D0.3|D1.3
2352,36,48,D0.0|D1.0
2354,36,50,D0.4|D1.4
2356,36,52,D0.0|D1.0
2358,36,54,D0.3|D1.3
2368,37,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
2369,37,1,D0.5|D1.5
2372,37,4,D0.3|D1.3|LEAF.3
2373,37,5,D0.3|D1.3
2376,37,8,D0.2|D1.2|LEAF.2
2377,37,9,D0.5|D1.5
2380,37,12,D0.2|D1.2
2381,37,13,D0.2|D1.2
2400,37,32,D0.0|D1.0
2401,37,33,D0.5|D1.5
2404,37,36,D0.0|D1.0
2405,37,37,D0.3|D1.3
2408,37,40,D0.0|D1.0
2409,37,41,D0.5|D1.5
2412,37,44,D0.0|D1.0
2413,37,45,D0.5|D1.5
2432,38,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
2433,38,1,D0.5|D1.5
2436,38,4,D0.3|D1.3|LEAF.3
2437,38,5,D0.3|D1.3
2440,38,8,D0.2|D1.2|LEAF.2
2441,38,9,D0.5|D1.5
2444,38,12,D0.2|D1.2
2445,38,13,D0.2|D1.2
2464,38,32,D0.0|D1.0
2465,38,33,D0.5|D1.5
2468,38,36,D0.0|D1.0
2469,38,37,D0.3|D1.3
2472,38,40,D0.0|D1.0
2473,38,41,D0.5|D1.5
2476,38,44,D0.0|D1.0
2477,38,45,D0.5|D1.5
