class_id	depth	width	labels_flat
770	2	4	0001003020440544
771	2	4	0001003020445044
772	2	4	0001003020550455
773	2	4	0001003020554055
774	2	4	0001003022002245
775	2	4	0001003022002254
776	2	4	0001003022042205
777	2	4	0001003022042250
778	2	4	0001003022052204
779	2	4	0001003022052240
780	2	4	0001003022402205
781	2	4	0001003022402250
782	2	4	0001003022452200
783	2	4	0001003022502204
784	2	4	0001003022502240
785	2	4	0001003022542200
786	2	4	0001003024000500
787	2	4	0001003024550055
788	2	4	0001003025000400
789	2	4	0001003025440044
790	2	4	0001003040002500
791	2	4	0001003040220522
792	2	4	0001003040225022
793	2	4	0001003040550255
794	2	4	0001003040552055
795	2	4	0001003042000500
796	2	4	0001003042550055
797	2	4	0001003044004425
798	2	4	0001003044004452
799	2	4	0001003044024405
800	2	4	0001003044024450
801	2	4	0001003044054402
802	2	4	0001003044054420
803	2	4	0001003044204405
804	2	4	0001003044204450
805	2	4	0001003044254400
806	2	4	0001003044504402
807	2	4	0001003044504420
808	2	4	0001003044524400
809	2	4	0001003045220022
810	2	4	0001003050220422
811	2	4	0001003050224022
812	2	4	0001003050440244
813	2	4	0001003050442044
814	2	4	0001003052440044
815	2	4	0001003054220022
816	2	4	0001003055005524
817	2	4	0001003055005542
818	2	4	0001003055025504
819	2	4	0001003055025540
820	2	4	0001003055045502
821	2	4	0001003055045520
822	2	4	0001003055205504
823	2	4	0001003055205540
824	2	4	0001003055245500
825	2	4	0001003055405502
826	2	4	0001003055405520
827	2	4	0001003055425500
828	2	4	0001003240000500
829	2	4	0001003244554455
830	2	4	0001003250000400
831	2	4	0001003255445544
832	2	4	0001003420000500
833	2	4	0001003422552255
834	2	4	0001003450000200
835	2	4	0001003455225522
836	2	4	0001003520000400
837	2	4	0001003522442244
838	2	4	0001003540000200
839	2	4	0001003544224422
840	2	4	0001230400550055
841	2	4	0001230455005500
842	2	4	0001230500440044
843	2	4	0001230544004400
844	2	4	0001234000550055
845	2	4	0001235000440044
846	2	4	0001240300550055
847	2	4	0001240355005500
848	2	4	0001240500330033
849	2	4	0001240533003300
850	2	4	0001243000550055
851	2	4	0001245000330033
852	2	4	0001250300440044
853	2	4	0001250344004400
854	2	4	0001250400330033
855	2	4	0001250433003300
856	2	4	0001253000440044
857	2	4	0001254000330033
858	2	4	0001320400550055
859	2	4	0001320455005500
860	2	4	0001320500440044
861	2	4	0001320544004400
862	2	4	0001324000550055
863	2	4	0001325000440044
864	2	4	0001340200550055
865	2	4	0001340255005500
866	2	4	0001340500220022
867	2	4	0001340522002200
868	2	4	0001342000550055
869	2	4	0001345000220022
870	2	4	0001350200440044
871	2	4	0001350244004400
872	2	4	0001350400220022
873	2	4	0001350422002200
874	2	4	0001352000440044
875	2	4	0001354000220022
876	2	4	0010000230004500
877	2	4	0010000230005400
878	2	4	0010000230440544
879	2	4	0010000230445044
880	2	4	0010000230550455
881	2	4	0010000230554055
882	2	4	0010000233003345
883	2	4	0010000233003354
884	2	4	0010000233043305
885	2	4	0010000233043350
886	2	4	0010000233053304
887	2	4	0010000233053340
888	2	4	0010000233403305
889	2	4	0010000233403350
890	2	4	0010000233453300
891	2	4	0010000233503304
892	2	4	0010000233503340
893	2	4	0010000233543300
894	2	4	0010000234000500
895	2	4	0010000234550055
896	2	4	0010000235000400
897	2	4	0010000235440044
898	2	4	0010000240005300
899	2	4	0010000240335033
900	2	4	0010000240550355
901	2	4	0010000240553055
902	2	4	0010000243550055
903	2	4	0010000244004435
904	2	4	0010000244004453
905	2	4	0010000244034405
906	2	4	0010000244034450
907	2	4	0010000244054403
908	2	4	0010000244054430
909	2	4	0010000244304405
910	2	4	0010000244304450
911	2	4	0010000244354400
912	2	4	0010000244504403
913	2	4	0010000244504430
914	2	4	0010000244534400
915	2	4	0010000245000300
916	2	4	0010000245330033
917	2	4	0010000250004300
918	2	4	0010000250330433
919	2	4	0010000250334033
920	2	4	0010000250440344
921	2	4	0010000250443044
922	2	4	0010000253440044
923	2	4	0010000254000300
924	2	4	0010000254330033
925	2	4	0010000255005534
926	2	4	0010000255005543
927	2	4	0010000255035504
928	2	4	0010000255035540
929	2	4	0010000255045503
930	2	4	0010000255045530
931	2	4	0010000255305504
932	2	4	0010000255305540
933	2	4	0010000255345500
934	2	4	0010000255405503
935	2	4	0010000255405530
936	2	4	0010000255435500
937	2	4	0010000320004500
938	2	4	0010000320005400
939	2	4	0010000320440544
940	2	4	0010000320445044
941	2	4	0010000320550455
942	2	4	0010000320554055
