case,digit_index,digit,channel_map,source
N3_class_08,221,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,222,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,223,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,224,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,225,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,226,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,227,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,228,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,229,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,230,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,231,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,232,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,233,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,234,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,235,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,236,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,237,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,238,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,239,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,240,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,241,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,242,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,243,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,244,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,245,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,246,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,247,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,248,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,249,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,250,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,251,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,252,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,253,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,254,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,255,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,256,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,257,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,258,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,259,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,260,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,261,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,262,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,263,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,264,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,265,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,266,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,267,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,268,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,269,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,270,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,271,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
