bit_index,row_id,keep_mask,output
1034,16,10,H.2
1035,16,11,H.2
1036,16,12,H.2
1037,16,13,H.2
1038,16,14,H.2
1039,16,15,H.2
1041,16,17,H.5
1043,16,19,H.4
1044,16,20,H.1
1045,16,21,H.1
1046,16,22,H.1
1047,16,23,H.1
1048,16,24,H.1
1049,16,25,H.5
1050,16,26,H.1
1051,16,27,H.1
1052,16,28,H.1
1053,16,29,H.1
1054,16,30,H.1
1055,16,31,H.1
1057,16,33,H.5
1058,16,34,H.4
1059,16,35,H.4
1060,16,36,H.0
1061,16,37,H.3
1062,16,38,H.3
1063,16,39,H.3
1064,16,40,H.0
1065,16,41,H.5
1066,16,42,H.4
1067,16,43,H.4
1068,16,44,H.0
1069,16,45,H.2
1070,16,46,H.2
1071,16,47,H.2
1072,16,48,H.0
1073,16,49,H.5
1074,16,50,H.4
1075,16,51,H.4
1076,16,52,H.0
1077,16,53,H.3
1078,16,54,H.3
1079,16,55,H.3
1080,16,56,H.0
1081,16,57,H.5
1082,16,58,H.4
1083,16,59,H.4
1084,16,60,H.0
1085,16,61,H.5
1086,16,62,H.0
1087,16,63,H.0
1089,17,1,H.5
1091,17,3,H.4
1092,17,4,H.3
1093,17,5,H.3
1094,17,6,H.3
1095,17,7,H.3
1096,17,8,H.2
1097,17,9,H.5
1098,17,10,H.2
1099,17,11,H.2
1100,17,12,H.2
1101,17,13,H.2
1102,17,14,H.2
1103,17,15,H.2
1105,17,17,H.5
1106,17,18,H.1
1107,17,19,H.4
1108,17,20,H.1
1109,17,21,H.1
1110,17,22,H.1
1111,17,23,H.1
1112,17,24,H.1
1113,17,25,H.5
1114,17,26,H.1
1115,17,27,H.1
1116,17,28,H.1
1117,17,29,H.1
1118,17,30,H.1
1119,17,31,H.1
1121,17,33,H.5
1122,17,34,H.4
1123,17,35,H.4
1124,17,36,H.0
1125,17,37,H.3
1126,17,38,H.3
1127,17,39,H.3
1128,17,40,H.0
1129,17,41,H.5
1130,17,42,H.4
1131,17,43,H.4
1132,17,44,H.0
1133,17,45,H.5
1134,17,46,H.2
1135,17,47,H.2
1136,17,48,H.0
1137,17,49,H.5
1138,17,50,H.4
1139,17,51,H.4
1140,17,52,H.0
1141,17,53,H.3
1142,17,54,H.3
1143,17,55,H.3
1144,17,56,H.0
1145,17,57,H.5
1146,17,58,H.4
1147,17,59,H.4
1148,17,60,H.0
1149,17,61,H.5
1150,17,62,H.0
1151,17,63,H.0
1154,18,2,H.4
1155,18,3,H.4
1156,18,4,H.3
1157,18,5,H.3
1158,18,6,H.3
1159,18,7,H.3
1160,18,8,H.2
1161,18,9,H.5
1162,18,10,H.2
1163,18,11,H.2
1164,18,12,H.2
1165,18,13,H.2
1166,18,14,H.2
1167,18,15,H.2
1169,18,17,H.5
1170,18,18,H.4
1171,18,19,H.4
1172,18,20,H.1
1173,18,21,H.1
1174,18,22,H.1
1175,18,23,H.1
1176,18,24,H.1
1177,18,25,H.5
1178,18,26,H.1
1179,18,27,H.1
1180,18,28,H.1
1181,18,29,H.1
1182,18,30,H.1
1183,18,31,H.1
1186,18,34,H.4
1187,18,35,H.4
1188,18,36,H.0
1189,18,37,H.3
1190,18,38,H.3
1191,18,39,H.3
1192,18,40,H.0
1193,18,41,H.5
1194,18,42,H.4
1195,18,43,H.4
1196,18,44,H.0
1197,18,45,H.5
1198,18,46,H.0
1199,18,47,H.2
1200,18,48,H.0
1201,18,49,H.5
1202,18,50,H.4
1203,18,51,H.4
1204,18,52,H.0
1205,18,53,H.5
1206,18,54,H.3
1207,18,55,H.3
1208,18,56,H.0
1209,18,57,H.5
1210,18,58,H.4
1211,18,59,H.4
1212,18,60,H.0
1213,18,61,H.5
1214,18,62,H.0
1215,18,63,H.0
1218,19,2,H.4
1219,19,3,H.4
1220,19,4,H.3
1221,19,5,H.3
1222,19,6,H.3
1223,19,7,H.3
1224,19,8,H.2
1225,19,9,H.5
1226,19,10,H.2
1227,19,11,H.2
1228,19,12,H.2
1229,19,13,H.2
1230,19,14,H.2
1231,19,15,H.2
1233,19,17,H.5
1234,19,18,H.4
1235,19,19,H.4
1236,19,20,H.1
1238,19,22,H.1
1239,19,23,H.1
1240,19,24,H.1
1241,19,25,H.5
1242,19,26,H.1
1243,19,27,H.4
1244,19,28,H.1
1245,19,29,H.1
1246,19,30,H.1
1247,19,31,H.1
1250,19,34,H.4
1251,19,35,H.4
1252,19,36,H.0
1253,19,37,H.3
1254,19,38,H.3
1255,19,39,H.3
1256,19,40,H.0
1257,19,41,H.5
1258,19,42,H.4
1259,19,43,H.4
1260,19,44,H.0
1261,19,45,H.5
1262,19,46,H.0
1263,19,47,H.2
1264,19,48,H.0
1265,19,49,H.5
1266,19,50,H.4
1267,19,51,H.4
1268,19,52,H.0
1269,19,53,H.3
1270,19,54,H.0
1271,19,55,H.3
1272,19,56,H.0
1273,19,57,H.5
1274,19,58,H.4
1275,19,59,H.4
1276,19,60,H.0
1277,19,61,H.5
1278,19,62,H.0
1279,19,63,H.0
1282,20,2,H.4
1283,20,3,H.4
1284,20,4,H.3
1285,20,5,H.3
1286,20,6,H.3
1287,20,7,H.3
1288,20,8,H.2
1289,20,9,H.5
1290,20,10,H.2
1291,20,11,H.2
1292,20,12,H.2
1293,20,13,H.2
1294,20,14,H.2
1295,20,15,H.2
1297,20,17,H.5
1298,20,18,H.4
1299,20,19,H.4
1300,20,20,H.1
1301,20,21,H.1
1302,20,22,H.1
1303,20,23,H.1
1304,20,24,H.1
1305,20,25,H.5
1306,20,26,H.1
1307,20,27,H.1
1308,20,28,H.1
1309,20,29,H.1
1310,20,30,H.1
1311,20,31,H.1
1314,20,34,H.4
1315,20,35,H.4
1316,20,36,H.0
1317,20,37,H.3
1318,20,38,H.3
1319,20,39,H.3
1320,20,40,H.0
1321,20,41,H.5
1322,20,42,H.4
1323,20,43,H.4
1324,20,44,H.0
1325,20,45,H.5
1326,20,46,H.0
1327,20,47,H.2
1328,20,48,H.0
1329,20,49,H.5
1330,20,50,H.4
1331,20,51,H.4
1332,20,52,H.0
1333,20,53,H.3
1334,20,54,H.3
1335,20,55,H.3
1336,20,56,H.0
1337,20,57,H.5
1338,20,58,H.4
1339,20,59,H.4
1340,20,60,H.0
1341,20,61,H.5
1342,20,62,H.0
1343,20,63,H.0
1345,21,1,H.5
1346,21,2,H.4
1347,21,3,H.4
1349,21,5,H.3
1350,21,6,H.3
1351,21,7,H.3
1353,21,9,H.5
1354,21,10,H.2
1355,21,11,H.2
1356,21,12,H.2
1357,21,13,H.2
1358,21,14,H.2
1359,21,15,H.2
1360,21,16,H.1
1361,21,17,H.5
1362,21,18,H.4
1363,21,19,H.4
1364,21,20,H.1
1365,21,21,H.3
1366,21,22,H.1
1367,21,23,H.3
1368,21,24,H.1
1369,21,25,H.5
1370,21,26,H.1
1371,21,27,H.1
1372,21,28,H.1
1373,21,29,H.1
1374,21,30,H.1
1375,21,31,H.1
1376,21,32,H.0
1377,21,33,H.5
1378,21,34,H.4
1379,21,35,H.4
1380,21,36,H.3
1381,21,37,H.3
1382,21,38,H.3
1383,21,39,H.3
1384,21,40,H.0
1385,21,41,H.5
1386,21,42,H.2
1387,21,43,H.2
1388,21,44,H.0
1389,21,45,H.2
1390,21,46,H.2
1391,21,47,H.2
1392,21,48,H.0
1393,21,49,H.5
1394,21,50,H.4
1395,21,51,H.4
1396,21,52,H.0
1397,21,53,H.3
1398,21,54,H.0
1399,21,55,H.3
1400,21,56,H.0
1401,21,57,H.5
1402,21,58,H.0
1403,21,59,H.4
1404,21,60,H.0
1405,21,61,H.5
1406,21,62,H.0
1407,21,63,H.1
1409,22,1,H.5
1410,22,2,H.4
1411,22,3,H.4
1413,22,5,H.3
1414,22,6,H.3
1415,22,7,H.3
1417,22,9,H.5
1418,22,10,H.2
1419,22,11,H.2
1420,22,12,H.2
1421,22,13,H.2
1422,22,14,H.2
1423,22,15,H.2
1424,22,16,H.1
1425,22,17,H.5
1426,22,18,H.4
1427,22,19,H.4
1428,22,20,H.1
1429,22,21,H.3
1430,22,22,H.1
1431,22,23,H.3
1432,22,24,H.1
1433,22,25,H.5
1434,22,26,H.1
1435,22,27,H.1
1436,22,28,H.1
1437,22,29,H.1
1438,22,30,H.1
1439,22,31,H.1
1440,22,32,H.0
1441,22,33,H.5
1442,22,34,H.4
1443,22,35,H.4
1444,22,36,H.0
1445,22,37,H.3
1446,22,38,H.3
1447,22,39,H.3
1448,22,40,H.0
1449,22,41,H.5
1450,22,42,H.0
1451,22,43,H.2
1452,22,44,H.0
1453,22,45,H.5
1454,22,46,H.0
1455,22,47,H.2
1456,22,48,H.0
1457,22,49,H.5
1458,22,50,H.4
1459,22,51,H.4
1460,22,52,H.0
1461,22,53,H.3
1462,22,54,H.0
1463,22,55,H.3
1464,22,56,H.0
1465,22,57,H.5
1466,22,58,H.0
1467,22,59,H.4
1468,22,60,H.0
1469,22,61,H.5
1470,22,62,H.0
1471,22,63,H.5
1473,23,1,H.5
1474,23,2,H.4
1475,23,3,H.4
1477,23,5,H.3
1478,23,6,H.3
1479,23,7,H.3
